"Год","Месяц","Гос. облигации (ОФЗ)","Корпоративные","Региональные"
"2015","1","3,408,360,075","33,874,683,000","0"
"2015","2","47,293,412,828","62,692,000,000","0"
"2015","3","41,553,021,565","45,658,300,000","0"
"2015","4","98,787,143,351","91,776,519,000","1,315,950,000"
"2015","5","77,852,433,005","164,815,322,000","5,500,000,000"
"2015","6","45,543,557,092","154,905,382,000","9,735,285,000"
"2015","7","97,411,047,349","184,520,368,000","15,137,500,000"
"2015","8","27,416,611,728","65,124,800,000","12,000,000,000"
"2015","9","44,529,095,077","129,957,515,000","19,266,050,000"
"2015","10","69,981,997,928","286,241,100,000","20,618,798,962"
"2015","11","49,050,417,785","142,988,250,000","9,232,000,000"
"2015","12","46,617,725,546","103,631,800,000","4,805,257,000"
"2016","1","61,446,981,885","40,891,852,000","0"
"2016","2","73,901,337,904","84,475,000,000","0"
"2016","3","107,731,551,356","111,749,218,000","0"
"2016","4","96,167,693,766","330,372,179,000","261,110,000"
"2016","5","67,067,954,860","116,400,000,000","14,020,000,000"
"2016","6","97,755,896,302","152,585,785,173","11,750,000,000"
"2016","7","96,692,704,760","123,349,980,000","11,750,000,000"
"2016","8","91,552,094,542","112,710,000,000","0"
"2016","9","105,887,353,608","174,900,532,000","14,652,500,000"
"2016","10","40,209,081,988","113,700,000,000","7,461,578,883"
"2016","11","89,197,546,067","89,744,343,000","67,089,752,900"
"2016","12","139,812,601,346","231,088,314,243","32,000,000,000"
"2017","1","119,308,458,520","26,097,365,000","0"
"2017","2","123,114,500,054","134,569,616,094","0"
"2017","3","152,344,192,984","120,459,507,000","0"
"2017","4","161,167,723,374","190,472,185,000","0"
"2017","5","163,042,575,750","305,699,373,944","5,000,000,000"
"2017","6","139,099,796,469","225,999,049,000","36,516,500,000"
"2017","7","135,356,520,879","39,950,052,000","3,500,000,000"
"2017","8","192,660,493,355","139,895,990,000","16,983,500,000"
"2017","9","148,948,547,540","76,400,171,000","16,542,500,000"
"2017","10","122,502,773,072","182,823,098,000","31,300,000,000"
"2017","11","114,500,144,703","103,689,184,000","32,537,506,300"
"2017","12","142,626,860,199","271,320,880,724","71,179,816,000"
"2018","1","149,285,972,276","20,542,980,000","0"
"2018","2","177,760,810,086","229,070,000,000","1,375,137,500"
"2018","3","141,846,747,894","200,166,782,000","0"
"2018","4","63,861,924,287","97,042,075,000","0"
"2018","5","82,261,243,727","94,917,535,000","5,500,000,000"
"2018","6","72,160,706,748","51,067,122,000","18,000,000,000"
"2018","7","141,429,591,696","192,051,858,350","15,000,000,000"
"2018","8","59,545,507,082","78,962,447,000","0"
"2018","9","1,354,670,727","6,996,810,500","12,000,000,000"
"2018","10","51,930,930,897","60,660,466,850","23,073,859,000"
"2018","11","49,553,552,905","171,969,913,875","11,000,000,000"
"2018","12","42,408,776,598","268,568,221,664","101,000"
"2019","1","73,396,475,089","46,075,343,152","0"
"2019","2","159,883,404,058","131,366,268,724","0"
"2019","3","256,478,608,768","147,893,420,000","0"
"2019","4","388,409,578,738","400,574,646,850","0"
"2019","5","367,717,193,304","150,836,878,418","7,000,000,000"
"2019","6","108,618,096,566","173,569,020,100","0"
"2019","7","86,071,089,246","287,788,363,440","0"
"2019","8","96,306,352,097","81,389,716,485","5,000,000,000"
"2019","9","94,564,379,522","165,835,320,495","12,550,000,000"
"2019","10","202,601,929,929","374,351,274,144","37,053,097,150"
"2019","11","103,636,338,253","214,571,649,992","18,250,800,000"
"2019","12","131,474,581,905","467,706,073,148","32,042,399,110"
"2020","1","217,054,161,517","145,759,122,341","0"
"2020","2","318,145,353,672","203,807,908,596","0"
"2020","3","951,475,533","159,767,766,000","0"
"2020","4","350,823,132,221","165,809,998,000","29,852,517,600"
"2020","5","418,335,824,683","162,233,924,000","8,500,000,000"
"2020","6","403,341,965,157","363,536,206,820","19,700,000,000"
"2020","7","230,355,804,241","161,697,659,990","30,000,000,000"
"2020","8","181,928,003,011","99,666,123,445","5,000,000,000"
"2020","9","858,974,659,279","167,047,783,535","17,000,000,000"
"2020","10","1,437,451,211,234","307,339,093,280","38,000,000,000"
"2020","11","782,882,688,030","170,478,182,500","66,500,000,000"
